,season,holiday,workingday,weathersit,temp,atemp,hum,windspeed,hr,mnth,yr,prediction
9925,1,0,1,1,0.54,0.5152,0.37,0.2537,14,2,1,192.0
9646,1,0,0,1,0.14,0.0758,0.43,0.6418,21,2,1,36.0
4265,3,0,1,1,0.82,0.697,0.21,0.2537,15,7,0,303.0
15226,4,0,1,2,0.62,0.6212,0.43,0.1343,15,10,1,244.0
5034,3,0,1,1,0.9,0.7727,0.25,0.2836,16,8,0,282.0
9034,1,0,1,3,0.3,0.2879,0.81,0.2836,8,1,1,272.0
13275,3,0,1,1,0.68,0.6364,0.65,0.1343,8,7,1,713.0
7047,4,0,1,1,0.42,0.4242,0.71,0.2239,6,10,0,114.0
11457,2,0,1,1,0.46,0.4545,0.33,0.3284,14,4,1,490.0
14278,3,0,1,1,0.62,0.5758,0.83,0.0896,3,8,1,7.0
5849,3,0,1,3,0.54,0.5152,0.88,0.3582,5,9,0,24.0
9970,1,0,0,1,0.3,0.2576,0.39,0.6119,11,2,1,227.0
17084,4,0,1,1,0.42,0.4242,0.5,0.2836,15,12,1,213.0
11806,2,0,0,1,0.48,0.4697,0.59,0.0,3,5,1,50.0
12277,2,0,1,1,0.74,0.6515,0.3,0.194,18,5,1,796.0
9292,1,0,0,1,0.26,0.303,0.6,0.0,2,1,1,45.0
13960,3,0,1,2,0.7,0.6515,0.58,0.1642,21,8,1,306.0
11468,2,0,0,1,0.36,0.3333,0.5,0.2985,1,4,1,70.0
6290,4,0,0,2,0.64,0.5909,0.78,0.0896,16,9,0,284.0
8297,4,0,0,2,0.26,0.2424,0.56,0.2537,9,12,0,177.0
3780,2,0,0,1,0.74,0.6818,0.58,0.1642,10,6,0,305.0
700,1,0,1,2,0.2,0.2576,0.86,0.0,13,2,0,55.0
8361,4,0,1,1,0.36,0.3788,0.53,0.0,1,12,0,31.0
1119,1,0,0,1,0.4,0.4091,0.16,0.6567,9,2,0,45.0
15801,4,0,1,1,0.6,0.5909,0.73,0.1343,14,10,1,257.0
2546,2,0,1,1,0.56,0.5303,0.43,0.3582,0,4,0,20.0
5727,3,0,1,1,0.58,0.5455,0.78,0.0896,2,9,0,6.0
13492,3,0,0,2,0.58,0.5455,0.83,0.194,9,7,1,331.0
13228,3,0,1,1,0.74,0.697,0.66,0.1343,9,7,1,343.0
5512,3,0,1,1,0.74,0.6515,0.3,0.3881,14,8,0,185.0
16207,4,0,1,3,0.44,0.4394,0.88,0.6418,1,11,1,9.0
1314,1,0,0,2,0.36,0.3485,0.62,0.1642,23,2,0,24.0
6245,3,0,1,2,0.64,0.5758,0.89,0.0896,19,9,0,320.0
14481,3,0,1,1,0.9,0.7727,0.25,0.2239,14,8,1,526.0
7974,4,0,0,2,0.32,0.3333,0.61,0.0896,22,12,0,65.0
3522,2,0,1,1,0.9,0.8333,0.39,0.1343,16,5,0,202.0
4509,3,0,1,1,0.84,0.8333,0.59,0.3284,19,7,0,322.0
12378,2,0,1,1,0.58,0.5455,0.49,0.2985,23,6,1,180.0
3752,2,0,1,1,0.66,0.6061,0.78,0.0896,6,6,0,109.0
15417,4,0,1,2,0.54,0.5152,0.64,0.194,14,10,1,351.0
10272,1,0,1,3,0.48,0.4697,0.77,0.4179,2,3,1,22.0
16625,4,0,1,2,0.38,0.3939,0.46,0.0,12,11,1,181.0
16264,4,0,1,2,0.32,0.3333,0.66,0.1343,10,11,1,164.0
14068,3,0,1,2,0.7,0.6667,0.74,0.0,9,8,1,316.0
16853,4,0,1,3,0.36,0.3636,1.0,0.0896,0,12,1,26.0
14734,3,0,1,1,0.48,0.4697,0.67,0.1343,3,9,1,15.0
9857,1,1,0,1,0.38,0.3939,0.27,0.2537,17,2,1,287.0
4220,3,0,1,1,0.8,0.697,0.29,0.2985,18,6,0,540.0
5933,3,0,1,1,0.7,0.6667,0.79,0.194,18,9,0,553.0
4989,3,0,0,1,0.8,0.7576,0.55,0.3284,19,7,0,303.0
12352,2,0,0,1,0.62,0.6212,0.43,0.1642,21,6,1,316.0
8454,1,0,1,1,0.32,0.3182,0.66,0.194,22,12,0,55.0
2680,2,0,1,1,0.72,0.6667,0.58,0.3284,14,4,0,177.0
950,1,0,0,1,0.12,0.1667,0.74,0.0896,5,2,0,3.0
826,1,0,0,1,0.26,0.303,0.6,0.0,21,2,0,56.0
2751,2,0,1,1,0.56,0.5303,0.37,0.2985,13,4,0,223.0
274,1,0,1,1,0.16,0.1364,0.55,0.3284,21,1,0,38.0
6051,3,0,1,1,0.76,0.697,0.52,0.2836,17,9,0,550.0
14304,3,0,1,1,0.64,0.5909,0.78,0.0,5,8,1,42.0
2930,2,0,0,1,0.42,0.4242,0.82,0.1343,0,5,0,58.0
16451,4,0,1,1,0.24,0.2879,0.81,0.0,5,11,1,36.0
2614,2,0,0,2,0.54,0.5152,0.88,0.2537,20,4,0,234.0
10942,2,0,1,1,0.36,0.3333,0.5,0.3881,2,4,1,3.0
3964,2,0,0,1,0.68,0.6364,0.74,0.0896,2,6,0,96.0
927,1,0,1,1,0.1,0.1818,0.68,0.0,6,2,0,58.0
12650,2,0,0,1,0.54,0.5152,0.68,0.194,7,6,1,90.0
9736,1,0,1,1,0.42,0.4242,0.41,0.2239,15,2,1,221.0
9819,1,0,0,2,0.3,0.2879,0.36,0.2836,2,2,1,43.0
16262,4,0,1,2,0.3,0.2879,0.61,0.2239,8,11,1,648.0
14874,3,0,0,1,0.54,0.5152,0.68,0.1045,23,9,1,127.0
5396,3,0,1,1,0.76,0.697,0.55,0.2537,18,8,0,466.0
9696,1,0,1,1,0.28,0.3182,0.41,0.0,23,2,1,26.0
7058,4,0,1,2,0.52,0.5,0.77,0.1045,17,10,0,604.0
17191,1,0,1,1,0.2,0.2576,0.75,0.0,2,12,1,3.0
16154,4,0,0,1,0.44,0.4394,0.54,0.0,20,11,1,255.0
13574,3,0,1,1,0.76,0.7121,0.62,0.1642,19,7,1,627.0
8045,4,0,1,2,0.44,0.4394,1.0,0.194,21,12,0,176.0
12616,2,0,1,1,0.64,0.6061,0.65,0.1642,21,6,1,274.0
8288,4,0,0,1,0.3,0.2879,0.49,0.2836,0,12,0,75.0
2796,2,0,0,2,0.48,0.4697,0.63,0.194,10,5,0,154.0
10963,2,0,1,1,0.42,0.4242,0.3,0.2836,23,4,1,94.0
10940,2,0,1,1,0.4,0.4091,0.43,0.0,0,4,1,33.0
12703,2,0,1,3,0.56,0.5303,0.78,0.1343,12,6,1,209.0
9002,1,0,0,1,0.16,0.197,0.43,0.0896,23,1,1,23.0
12242,2,0,1,3,0.6,0.5758,0.78,0.194,7,5,1,303.0
3314,2,0,1,2,0.56,0.5303,0.88,0.1343,0,5,0,35.0
17040,4,0,1,2,0.42,0.4242,0.88,0.1343,19,12,1,384.0
3479,2,0,0,1,0.68,0.6364,0.83,0.1642,21,5,0,164.0
15981,4,0,0,2,0.36,0.3333,0.5,0.3284,14,11,1,356.0
6660,4,1,0,1,0.48,0.4697,0.88,0.0,2,10,0,55.0
1090,1,0,1,1,0.46,0.4545,0.67,0.2537,4,2,0,8.0
5284,3,0,0,1,0.68,0.6364,0.57,0.0,2,8,0,52.0
3707,2,0,1,1,0.76,0.7121,0.58,0.1642,9,6,0,179.0
15811,4,0,1,2,0.54,0.5152,0.77,0.0,0,10,1,31.0
5331,3,0,1,2,0.6,0.5455,0.88,0.1343,1,8,0,13.0
3441,2,0,0,1,0.6,0.5606,0.83,0.2537,7,5,0,31.0
9051,1,0,1,2,0.46,0.4545,0.77,0.3284,1,1,1,12.0
9922,1,0,1,1,0.48,0.4697,0.48,0.2836,11,2,1,129.0
9691,1,0,1,1,0.34,0.3182,0.25,0.2537,18,2,1,417.0
10056,1,0,1,1,0.32,0.3333,0.49,0.1045,1,2,1,20.0
8064,4,0,1,3,0.42,0.4242,0.94,0.194,16,12,0,151.0
2214,2,0,1,1,0.36,0.3485,0.66,0.194,3,4,0,1.0
6560,4,0,1,1,0.52,0.5,0.72,0.0,22,10,0,152.0
13220,3,0,1,1,0.7,0.6667,0.74,0.1343,1,7,1,19.0
3323,2,0,1,1,0.6,0.5455,0.88,0.2239,9,5,0,207.0
5900,3,0,1,2,0.62,0.5152,1.0,0.2537,9,9,0,203.0
15694,4,0,0,1,0.38,0.3939,0.66,0.0896,3,10,1,20.0
13817,3,0,1,1,0.76,0.7273,0.7,0.2537,22,8,1,269.0
13402,3,0,1,1,0.92,0.8182,0.31,0.1642,15,7,1,221.0
6874,4,0,1,2,0.52,0.5,0.77,0.194,0,10,0,37.0
14367,3,0,0,1,0.64,0.5758,0.89,0.1642,20,8,1,194.0
7163,4,0,1,1,0.24,0.2879,0.87,0.0,2,10,0,12.0
12787,3,0,1,2,0.76,0.7273,0.7,0.1045,0,6,1,111.0
6857,4,0,1,1,0.46,0.4545,0.88,0.0896,7,10,0,137.0
601,1,0,1,2,0.16,0.197,0.86,0.0896,7,1,0,99.0
10796,2,0,1,1,0.36,0.3788,0.71,0.0,23,3,1,122.0
12556,2,0,1,2,0.64,0.5758,0.89,0.2836,9,6,1,298.0
8814,1,0,0,1,0.36,0.3333,0.37,0.2836,2,1,1,38.0
15178,4,0,0,1,0.6,0.6212,0.43,0.2537,15,9,1,711.0
2583,2,0,1,3,0.34,0.3333,0.87,0.194,13,4,0,15.0
14274,3,0,1,1,0.64,0.5758,0.83,0.0,23,8,1,171.0
11105,2,0,1,1,0.42,0.4242,0.35,0.194,22,4,1,149.0
14121,3,0,1,1,0.82,0.7121,0.32,0.0,14,8,1,248.0
4643,3,0,0,1,0.72,0.6667,0.58,0.2239,9,7,0,179.0
4201,3,0,1,1,0.7,0.6515,0.7,0.2836,23,6,0,105.0
12761,2,0,1,1,0.82,0.7576,0.46,0.1045,22,6,1,188.0
10259,1,0,1,2,0.6,0.6212,0.49,0.6418,13,3,1,203.0
12354,2,0,0,1,0.58,0.5455,0.53,0.1045,23,6,1,238.0
11146,2,0,0,2,0.64,0.6212,0.27,0.3582,15,4,1,637.0
8602,1,0,1,1,0.22,0.2576,0.75,0.0896,5,12,0,10.0
14292,3,0,1,1,0.76,0.6818,0.45,0.2239,17,8,1,941.0
11031,2,0,1,1,0.52,0.5,0.34,0.3582,19,4,1,494.0
9479,1,0,0,3,0.24,0.2424,0.93,0.1343,21,2,1,36.0
6703,4,0,1,2,0.58,0.5455,0.78,0.194,21,10,0,156.0
2202,2,0,1,1,0.52,0.5,0.32,0.3284,15,4,0,235.0
6431,4,0,1,2,0.66,0.6212,0.47,0.3284,13,9,0,169.0
2127,2,0,0,1,0.44,0.4394,0.38,0.2836,12,4,0,354.0
5864,3,0,1,3,0.54,0.5152,0.88,0.2985,20,9,0,157.0
10038,1,0,1,1,0.28,0.2576,0.45,0.2985,7,2,1,230.0
9950,1,0,1,3,0.4,0.4091,0.87,0.194,15,2,1,178.0
439,1,0,1,1,0.22,0.2121,0.55,0.2836,8,1,0,237.0
13089,3,1,0,1,0.9,0.8182,0.37,0.1642,14,7,1,499.0
12030,2,0,1,2,0.6,0.5606,0.83,0.1642,11,5,1,184.0
14318,3,0,1,2,0.72,0.6667,0.58,0.1642,19,8,1,579.0
7540,4,0,1,2,0.5,0.4848,0.72,0.3582,19,11,0,270.0
7656,4,0,0,2,0.52,0.5,0.68,0.194,15,11,0,354.0
15356,4,0,0,1,0.44,0.4394,0.54,0.2239,1,10,1,154.0
8196,4,0,1,1,0.2,0.2576,0.8,0.0,4,12,0,2.0
15936,4,0,1,3,0.4,0.4091,0.5,0.2239,17,11,1,303.0
7487,4,0,0,2,0.54,0.5152,0.28,0.4925,14,11,0,339.0
339,1,0,0,2,0.32,0.3182,0.36,0.194,15,1,0,120.0
13720,3,0,1,1,0.72,0.6818,0.7,0.194,21,7,1,378.0
16460,4,0,1,1,0.5,0.4848,0.36,0.2537,14,11,1,308.0
3077,2,0,1,2,0.5,0.4848,0.88,0.1343,3,5,0,5.0
9132,1,0,0,3,0.16,0.1515,0.93,0.2537,10,1,1,185.0
3545,2,0,1,1,0.9,0.8333,0.39,0.2985,15,6,0,145.0
2483,2,0,1,2,0.5,0.4848,0.55,0.1045,9,4,0,138.0
15241,4,0,1,3,0.58,0.5455,0.83,0.1045,6,10,1,141.0
1624,1,0,0,1,0.36,0.3485,0.62,0.1343,5,3,0,3.0
14952,3,0,1,1,0.44,0.4394,0.77,0.1045,5,9,1,50.0
16162,4,0,0,1,0.32,0.3333,0.81,0.1045,4,11,1,21.0
15716,4,0,1,1,0.4,0.4091,0.71,0.0,1,10,1,25.0
903,1,0,1,2,0.14,0.1364,0.59,0.2239,4,2,0,4.0
17325,1,0,0,1,0.3,0.2424,0.7,0.194,18,12,1,123.0
9148,1,0,0,2,0.18,0.1667,0.74,0.2836,2,1,1,26.0
5278,3,0,1,1,0.72,0.6515,0.42,0.2239,20,8,0,291.0
13361,3,0,0,1,0.72,0.697,0.74,0.1045,22,7,1,148.0
14456,3,0,1,1,0.76,0.6818,0.48,0.1045,13,8,1,316.0
16374,4,0,1,1,0.32,0.3333,0.7,0.1343,0,11,1,42.0
6377,4,0,1,3,0.6,0.5152,0.94,0.1642,7,9,0,147.0
8958,1,0,0,1,0.14,0.1667,0.54,0.1045,3,1,1,13.0
366,1,0,0,1,0.2,0.2121,0.4,0.1642,18,1,0,48.0
16343,4,0,0,2,0.38,0.3939,0.66,0.2537,17,11,1,410.0
4860,3,0,1,1,0.8,0.697,0.31,0.2239,10,7,0,170.0
6863,4,0,1,2,0.64,0.6212,0.38,0.194,13,10,0,219.0
2950,2,0,0,1,0.56,0.5303,0.43,0.1343,20,5,0,190.0
17252,1,0,1,3,0.26,0.2273,0.93,0.3582,17,12,1,26.0
8904,1,0,1,3,0.34,0.3182,0.87,0.2239,21,1,1,101.0
483,1,0,0,2,0.02,0.0152,0.48,0.2985,4,1,0,5.0
7654,4,0,0,2,0.54,0.5152,0.6,0.194,13,11,0,339.0
15514,4,0,0,1,0.5,0.4848,0.36,0.194,15,10,1,640.0
13034,3,0,1,1,0.74,0.6667,0.51,0.1045,7,7,1,359.0
10200,1,0,1,1,0.2,0.197,0.44,0.2239,2,3,1,4.0
9985,1,0,0,1,0.24,0.2121,0.44,0.3284,2,2,1,38.0
200,1,0,0,1,0.22,0.197,0.35,0.3582,15,1,0,75.0
9632,1,0,0,3,0.22,0.2273,0.93,0.1343,7,2,1,6.0
11176,2,0,0,1,0.62,0.6212,0.57,0.2537,21,4,1,233.0
10098,1,0,1,1,0.44,0.4394,0.44,0.4179,20,3,1,159.0
12028,2,0,1,3,0.56,0.5303,0.88,0.2239,9,5,1,110.0
7222,4,0,1,1,0.48,0.4697,0.48,0.1642,13,11,0,272.0
17089,4,0,1,1,0.36,0.3485,0.57,0.2239,20,12,1,277.0
4328,3,1,0,1,0.64,0.5758,0.89,0.1642,6,7,0,37.0
13801,3,0,1,1,0.66,0.6061,0.83,0.2239,6,8,1,194.0
8886,1,0,1,1,0.22,0.2727,0.8,0.0,3,1,1,1.0
10631,2,0,0,1,0.54,0.5152,0.77,0.1045,2,3,1,75.0
13693,3,0,0,1,0.8,0.7121,0.41,0.2985,18,7,1,490.0
10305,1,0,0,1,0.3,0.2727,0.33,0.3284,11,3,1,329.0
7723,4,0,1,2,0.52,0.5,0.94,0.194,10,11,0,129.0
10252,1,0,1,1,0.42,0.4242,0.77,0.2537,6,3,1,127.0
14745,3,0,1,1,0.68,0.6212,0.3,0.0896,14,9,1,296.0
14220,3,0,1,1,0.7,0.6515,0.58,0.2836,17,8,1,846.0
11957,2,0,1,1,0.6,0.6212,0.46,0.1343,10,5,1,203.0
4488,3,0,0,1,0.74,0.697,0.66,0.2239,22,7,0,181.0
85,1,0,1,1,0.28,0.2727,0.48,0.2239,17,1,0,205.0
167,1,0,0,2,0.16,0.1667,0.74,0.1642,6,1,0,2.0
9286,1,0,1,1,0.34,0.303,0.53,0.3582,20,1,1,227.0
3014,2,0,1,2,0.6,0.6212,0.38,0.0,12,5,0,227.0
1694,1,0,1,2,0.3,0.3182,0.93,0.1045,6,3,0,11.0
10944,2,0,1,1,0.34,0.3182,0.49,0.2537,4,4,1,6.0
11000,2,0,0,1,0.54,0.5152,0.24,0.2537,12,4,1,678.0
5015,3,0,1,1,0.7,0.6515,0.7,0.2537,21,8,0,173.0
14329,3,0,0,2,0.64,0.5909,0.78,0.1642,6,8,1,18.0
1199,1,0,1,1,0.14,0.1364,0.5,0.194,0,2,0,14.0
1783,1,0,0,1,0.34,0.303,0.49,0.4179,0,3,0,13.0
9807,1,0,0,1,0.44,0.4394,0.35,0.3582,14,2,1,464.0
8663,1,0,0,3,0.46,0.4545,0.59,0.2537,18,1,1,206.0
16925,4,0,1,2,0.28,0.2727,0.52,0.2239,0,12,1,23.0
17046,4,0,1,2,0.44,0.4394,0.94,0.1343,1,12,1,13.0
9308,1,0,0,1,0.42,0.4242,0.41,0.2239,18,1,1,206.0
1418,1,0,1,1,0.22,0.2273,0.6,0.1343,9,3,0,166.0
14654,3,0,1,1,0.74,0.6818,0.62,0.2836,19,9,1,596.0
1705,1,0,1,2,0.44,0.4394,0.54,0.2985,17,3,0,204.0
8344,4,0,1,1,0.2,0.197,0.75,0.194,8,12,0,478.0
46,1,0,0,1,0.22,0.2273,0.47,0.1642,23,1,0,32.0
14529,3,0,0,3,0.72,0.697,0.79,0.0896,14,9,1,493.0
7800,4,0,0,2,0.5,0.4848,0.42,0.1045,15,11,0,304.0
6399,4,0,1,2,0.6,0.5455,0.88,0.1045,5,9,0,25.0
5386,3,0,1,1,0.7,0.6515,0.54,0.1642,8,8,0,347.0
7408,4,0,1,2,0.38,0.3939,0.94,0.1642,7,11,0,233.0
6096,3,0,1,2,0.54,0.5152,0.45,0.1642,14,9,0,195.0
4344,3,1,0,2,0.74,0.6818,0.62,0.1343,22,7,0,201.0
14780,3,0,1,1,0.54,0.5152,0.77,0.0896,1,9,1,29.0
1522,1,0,1,1,0.34,0.3485,0.31,0.1045,19,3,0,242.0
11189,2,1,0,1,0.62,0.6061,0.69,0.2537,10,4,1,482.0
12712,2,0,1,2,0.62,0.5909,0.73,0.1045,21,6,1,313.0
5561,3,0,1,1,0.76,0.6818,0.48,0.4478,15,8,0,212.0
304,1,0,1,1,0.1,0.1364,0.54,0.1045,3,1,0,4.0
15996,4,0,0,1,0.26,0.2727,0.65,0.1045,5,11,1,6.0
1078,1,0,1,2,0.56,0.5303,0.35,0.2985,16,2,0,232.0
420,1,0,1,1,0.4,0.4091,0.62,0.2836,13,1,0,82.0
6916,4,0,1,1,0.46,0.4545,0.51,0.3582,19,10,0,214.0
127,1,0,1,1,0.26,0.2727,0.35,0.1045,13,1,0,70.0
11147,2,0,0,2,0.64,0.6212,0.27,0.3582,16,4,1,591.0
624,1,0,0,1,0.16,0.1818,0.59,0.1045,7,1,0,2.0
15466,4,0,1,1,0.52,0.5,0.34,0.1642,15,10,1,319.0
13587,3,0,1,1,0.7,0.6364,0.42,0.2537,8,7,1,713.0
4230,3,0,1,1,0.58,0.5455,0.64,0.1343,4,6,0,11.0
16085,4,0,1,3,0.3,0.2879,0.56,0.2537,22,11,1,162.0
10113,1,0,1,1,0.38,0.3939,0.46,0.194,11,3,1,161.0
6435,4,0,1,1,0.62,0.6212,0.53,0.194,17,9,0,628.0
16228,4,0,1,1,0.26,0.2273,0.56,0.3284,22,11,1,105.0
5678,3,0,1,1,0.56,0.5303,0.68,0.1045,1,8,0,19.0
729,1,0,1,1,0.34,0.2879,0.42,0.5522,18,2,0,157.0
6541,4,0,1,1,0.46,0.4545,0.82,0.1045,3,10,0,4.0
4098,3,0,1,1,0.8,0.697,0.33,0.4179,16,6,0,328.0
14830,3,0,0,1,0.6,0.5909,0.73,0.2537,3,9,1,45.0
13497,3,0,0,2,0.6,0.5455,0.88,0.2537,14,7,1,457.0
15003,3,0,0,1,0.6,0.5909,0.73,0.2985,8,9,1,170.0
15655,4,0,1,1,0.64,0.6061,0.69,0.2239,12,10,1,375.0
425,1,0,1,1,0.34,0.3182,0.61,0.2836,18,1,0,214.0
10620,2,0,1,2,0.72,0.6515,0.42,0.1343,15,3,1,259.0
16795,4,0,1,2,0.36,0.3485,0.71,0.1642,14,12,1,181.0
15662,4,0,1,1,0.54,0.5152,0.88,0.1642,19,10,1,542.0
14621,3,0,1,3,0.66,0.5909,0.94,0.1343,10,9,1,125.0
13290,3,0,1,2,0.7,0.6515,0.51,0.2239,23,7,1,147.0
8606,1,0,1,1,0.26,0.303,0.75,0.0,9,12,0,170.0
15570,4,0,1,1,0.46,0.4545,0.63,0.2239,23,10,1,94.0
7020,4,0,1,1,0.4,0.4091,0.87,0.0,3,10,0,10.0
6647,4,0,0,1,0.66,0.6212,0.44,0.0896,13,10,0,455.0
7197,4,0,1,1,0.5,0.4848,0.48,0.0896,12,11,0,283.0
15300,4,0,1,1,0.7,0.6515,0.51,0.2239,17,10,1,900.0
2174,2,0,1,3,0.32,0.2879,0.81,0.4478,11,4,0,28.0
2275,2,0,0,2,0.38,0.3939,0.82,0.0,16,4,0,212.0
381,1,1,0,2,0.16,0.1515,0.47,0.2239,9,1,0,23.0
4950,3,0,0,1,0.72,0.6818,0.66,0.1642,4,7,0,13.0
16164,4,0,0,1,0.3,0.3182,0.87,0.0896,6,11,1,27.0
2534,2,0,1,1,0.7,0.6515,0.48,0.3881,12,4,0,177.0
5026,3,0,1,1,0.74,0.6818,0.58,0.2836,8,8,0,424.0
14698,3,0,0,1,0.72,0.6515,0.32,0.2537,15,9,1,654.0
1720,1,0,1,1,0.36,0.3485,0.66,0.1343,8,3,0,123.0
3210,2,0,1,1,0.6,0.5909,0.73,0.194,16,5,0,290.0
12750,2,0,1,1,0.84,0.7879,0.49,0.194,11,6,1,188.0
7900,4,0,1,2,0.32,0.303,0.57,0.2836,20,11,0,175.0
10466,1,0,0,2,0.42,0.4242,0.94,0.0896,5,3,1,2.0
9527,1,0,1,1,0.3,0.303,0.65,0.1343,22,2,1,114.0
3482,2,1,0,1,0.64,0.5606,0.94,0.194,0,5,0,39.0
4115,3,0,0,1,0.72,0.6515,0.45,0.2537,9,6,0,201.0
9758,1,0,1,3,0.34,0.3182,0.71,0.2537,13,2,1,65.0
3704,2,0,1,1,0.64,0.5758,0.89,0.1343,6,6,0,104.0
12940,3,0,1,1,0.7,0.6515,0.54,0.1642,9,6,1,348.0
7198,4,0,1,1,0.48,0.4697,0.55,0.194,13,11,0,272.0
12756,2,0,1,1,0.9,0.8182,0.37,0.0,17,6,1,672.0
15263,4,0,1,2,0.6,0.5,1.0,0.0,4,10,1,7.0
11800,2,0,1,1,0.6,0.6061,0.28,0.1045,21,5,1,298.0
7576,4,0,1,3,0.34,0.3182,0.61,0.2836,7,11,0,355.0
6921,4,0,1,1,0.4,0.4091,0.62,0.2537,0,10,0,64.0
8784,1,0,1,1,0.42,0.4242,0.41,0.194,20,1,1,171.0
8422,1,0,1,2,0.46,0.4545,0.63,0.0,14,12,0,256.0
14690,3,0,0,1,0.54,0.5152,0.73,0.1642,7,9,1,102.0
10316,1,0,0,1,0.26,0.2576,0.44,0.1642,22,3,1,58.0
6189,3,0,1,3,0.56,0.5303,0.88,0.1642,11,9,0,36.0
9969,1,0,0,1,0.26,0.2273,0.6,0.3582,10,2,1,118.0
4787,3,0,0,1,0.84,0.7879,0.49,0.1642,9,7,0,154.0
12885,3,0,1,1,0.56,0.5303,0.43,0.2836,2,6,1,12.0
12074,2,0,1,1,0.58,0.5455,0.83,0.0,7,5,1,415.0
9394,1,0,1,3,0.36,0.3636,0.73,0.1045,8,2,1,498.0
4123,3,0,0,1,0.74,0.6667,0.42,0.2239,17,6,0,475.0
3393,2,0,1,2,0.62,0.5455,0.94,0.2537,7,5,0,236.0
11643,2,0,0,1,0.58,0.5455,0.83,0.0896,8,5,1,97.0
12708,2,0,1,2,0.6,0.5909,0.73,0.194,17,6,1,729.0
13826,3,0,0,1,0.72,0.697,0.77,0.1642,7,8,1,50.0
12279,2,0,1,1,0.68,0.6364,0.44,0.1642,20,5,1,385.0
14564,3,0,1,1,0.68,0.6364,0.82,0.1343,1,9,1,42.0
5438,3,0,1,2,0.74,0.6818,0.62,0.0896,12,8,0,152.0
1714,1,0,1,1,0.34,0.303,0.71,0.2985,2,3,0,6.0
16837,4,0,0,3,0.4,0.4091,0.87,0.1642,8,12,1,500.0
14281,3,0,1,2,0.6,0.5455,0.88,0.0896,6,8,1,165.0
5802,3,0,0,1,0.64,0.5758,0.83,0.1343,5,9,0,39.0
8323,4,0,0,2,0.24,0.2273,0.6,0.2239,11,12,0,129.0
16055,4,0,1,1,0.34,0.3333,0.46,0.1642,16,11,1,331.0
10882,2,0,1,1,0.56,0.5303,0.21,0.2239,14,4,1,334.0
8641,1,0,0,1,0.42,0.4242,0.54,0.2239,20,12,0,141.0
10575,2,0,1,1,0.6,0.5909,0.69,0.0,18,3,1,729.0
10765,2,0,1,1,0.52,0.5,0.36,0.3284,16,3,1,589.0
15594,4,0,1,1,0.4,0.4091,0.71,0.0,23,10,1,162.0
1276,1,0,0,2,0.24,0.2879,0.6,0.0,8,2,0,35.0
902,1,0,1,3,0.14,0.1515,0.8,0.1343,2,2,0,1.0
6141,3,0,0,1,0.52,0.5,0.68,0.2239,11,9,0,415.0
10299,1,0,0,1,0.22,0.2121,0.42,0.2836,5,3,1,4.0
103,1,0,1,1,0.26,0.2273,0.33,0.3284,12,1,0,71.0
4398,3,0,1,1,0.64,0.5758,0.89,0.1045,4,7,0,8.0
11006,2,0,0,1,0.62,0.6061,0.25,0.3284,18,4,1,487.0
2069,2,0,1,3,0.26,0.2576,0.93,0.194,2,4,0,12.0
5431,3,0,1,1,0.64,0.5758,0.83,0.0,5,8,0,32.0
4119,3,0,0,1,0.74,0.6515,0.4,0.2836,13,6,0,392.0
7132,4,0,0,1,0.24,0.2121,0.87,0.3582,19,10,0,157.0
11351,2,0,1,3,0.3,0.2879,0.81,0.2836,4,4,1,1.0
6025,3,0,1,1,0.74,0.6667,0.51,0.2985,15,9,0,212.0
2858,2,0,1,3,0.52,0.5,0.77,0.1642,0,5,0,80.0
7078,4,0,1,2,0.5,0.4848,0.88,0.1642,13,10,0,162.0
15855,4,0,0,2,0.52,0.5,0.72,0.2239,20,10,1,304.0
16873,4,0,1,1,0.46,0.4545,0.88,0.2537,20,12,1,415.0
8094,4,0,1,1,0.26,0.2727,0.65,0.1343,22,12,0,59.0
14939,3,0,1,1,0.62,0.6212,0.35,0.0,16,9,1,634.0
12825,3,0,0,1,0.78,0.6818,0.33,0.2537,14,6,1,607.0
1693,1,0,1,2,0.3,0.3182,0.93,0.1045,5,3,0,12.0
6601,4,0,1,1,0.66,0.6212,0.41,0.0,15,10,0,219.0
4026,3,0,1,1,0.8,0.7727,0.59,0.2239,16,6,0,283.0
15926,4,0,1,2,0.36,0.3485,0.57,0.1642,7,11,1,478.0
14187,3,0,0,2,0.64,0.6061,0.69,0.1045,8,8,1,162.0
5642,3,0,0,1,0.76,0.6818,0.45,0.3582,13,8,0,469.0
9500,1,0,0,1,0.3,0.2879,0.52,0.2537,18,2,1,114.0
1769,1,0,0,1,0.44,0.4394,0.38,0.4179,10,3,0,181.0
9924,1,0,1,1,0.52,0.5,0.39,0.194,13,2,1,192.0
6618,4,0,0,1,0.46,0.4545,0.82,0.0,8,10,0,107.0
12648,2,0,0,1,0.54,0.5152,0.68,0.1045,5,6,1,8.0
5762,3,0,1,2,0.68,0.6364,0.65,0.1343,13,9,0,214.0
7229,4,0,1,1,0.4,0.4091,0.66,0.1343,20,11,0,206.0
11121,2,0,1,1,0.52,0.5,0.27,0.0,14,4,1,334.0
13850,3,0,0,1,0.74,0.7121,0.74,0.2985,7,8,1,48.0
7238,4,0,1,1,0.32,0.3333,0.81,0.1343,5,11,0,27.0
